range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.508473,0.308366,0.483086,0.0,1.0,0.978847
[0.80-0.90],2820,0.364961,0.260817,0.31884,0.0,1.0,0.863582
[0.70-0.80],1873,0.297135,0.227135,0.253703,0.0,1.0,0.759599
[0.60-0.70],1712,0.261989,0.213429,0.223329,0.0,1.0,0.663683
[0.50-0.60],1262,0.218891,0.201164,0.178528,0.0,1.0,0.564676
