range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],3000,0.65439,0.411595,0.914518,0.0,1.0,0.977406
[0.80-0.90],1842,0.253531,0.367408,0.0,0.0,1.0,0.858248
[0.70-0.80],1719,0.067483,0.144432,0.0,0.0,1.0,0.75093
[0.60-0.70],1956,0.047649,0.108351,0.0,0.0,0.810611,0.659446
[0.50-0.60],1681,0.043822,0.105015,0.0,0.0,1.0,0.561654
