sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,1.554688,-6.28125,1.367187
1,0.738281,-3.5,1.349219
2,0.820312,-3.78125,1.670313
3,1.039062,-4.5,1.679688
4,0.996094,-4.28125,1.435156
5,0.251953,-1.265625,2.035547
6,0.498047,-2.46875,1.667578
7,3.25,-8.5625,0.75625
8,0.347656,-1.75,2.110156
9,0.925781,-3.984375,1.796094
10,2.125,-6.96875,0.9875
11,0.546875,-2.765625,1.798438
12,1.945312,-6.96875,1.198438
13,2.59375,-7.5,1.146875
14,0.960938,-4.34375,1.475
15,0.390625,-1.945312,1.751562
16,1.484375,-6.1875,1.60625
17,0.5,-2.4375,1.342188
18,0.458984,-2.28125,1.748829
19,0.496094,-2.390625,1.486718
20,2.703125,-7.90625,0.91875
21,0.761719,-3.5625,1.357031
22,0.550781,-2.71875,1.874219
23,1.195312,-5.1875,1.392188
24,0.292969,-1.460938,2.007031
25,2.40625,-7.71875,0.9625
26,1.28125,-4.84375,1.409375
27,1.351562,-5.1875,1.704688
28,1.890625,-6.875,1.128125
29,1.0,-4.34375,1.35625
30,1.703125,-5.9375,1.675
31,2.296875,-6.59375,1.1
32,3.0625,-8.25,0.853125
33,0.180664,-0.902344,2.066211
34,0.443359,-2.21875,2.175391
35,0.416016,-2.078125,1.619922
36,1.734375,-6.46875,0.840625
37,0.921875,-4.03125,1.678125
38,0.9375,-4.28125,1.865625
39,2.859375,-7.96875,0.7
40,2.609375,-7.5625,0.846875
41,2.15625,-6.625,1.078125
42,2.3125,-7.21875,0.6375
43,1.242188,-5.28125,1.176562
44,0.535156,-2.703125,1.917969
45,0.464844,-2.3125,1.763281
46,1.484375,-5.53125,1.415625
47,0.535156,-2.578125,1.810156
48,1.671875,-6.3125,1.19375
49,0.652344,-3.234375,1.825781
50,1.648438,-5.625,1.010937
51,1.078125,-4.65625,1.628125
52,0.478516,-2.390625,1.466797
53,1.523438,-5.5,1.257812
54,0.613281,-3.03125,1.739844
55,2.59375,-7.65625,0.6625
56,1.976562,-6.71875,1.035938
57,0.123535,-0.621094,2.020215
58,1.515625,-5.875,0.909375
59,2.78125,-8.25,0.75625
60,0.15918,-0.800781,2.42207
61,1.15625,-5.25,1.525
62,0.75,-3.765625,1.373437
63,0.18457,-0.921875,1.962305
64,0.162109,-0.816406,2.297266
65,1.976562,-7.0,0.935938
66,3.03125,-8.375,0.74375
67,1.125,-5.09375,1.184375
68,0.511719,-2.484375,1.571093
69,0.59375,-2.875,1.96875
70,1.539062,-6.0,1.148438
71,2.109375,-6.78125,0.9375
72,1.070312,-5.0,1.376563
73,0.835938,-3.84375,1.382812
74,0.445312,-2.15625,2.065626
75,1.007812,-4.8125,1.585938
76,2.015625,-6.96875,0.65
77,1.335938,-5.21875,0.978125
78,3.75,-8.8125,0.5625
79,0.400391,-2.03125,1.921484
80,0.373047,-1.882812,1.901953
81,0.859375,-4.09375,1.4375
82,1.867188,-7.21875,2.064062
83,1.023438,-4.375,1.754687
84,0.683594,-3.109375,1.975781
85,1.125,-4.59375,1.928125
86,0.480469,-2.453125,1.947656
87,2.109375,-7.0625,1.128125
88,0.349609,-1.757812,1.689453
89,1.429688,-5.15625,1.107812
90,0.625,-3.046875,1.765625
91,1.210938,-5.0625,1.335937
92,0.769531,-3.703125,1.352344
93,0.578125,-2.859375,1.357813
94,1.210938,-4.65625,1.45
95,2.578125,-7.59375,0.571875
96,0.355469,-1.789062,2.047656
97,0.75,-3.71875,1.85
