range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.537333,0.316982,0.525386,0.0,1.0,0.97863
[0.80-0.90],2273,0.352809,0.263077,0.305741,0.0,1.0,0.862494
[0.70-0.80],1664,0.284922,0.222832,0.247626,0.0,1.0,0.756464
[0.60-0.70],1621,0.248018,0.218779,0.198559,0.0,1.0,0.661669
[0.50-0.60],1213,0.201044,0.191442,0.146145,0.0,1.0,0.567514
