range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.629189,0.316108,0.683228,0.0,1.0,0.97863
[0.80-0.90],2273,0.425876,0.288974,0.383164,0.0,1.0,0.862494
[0.70-0.80],1664,0.336396,0.252772,0.286603,0.0,1.0,0.756464
[0.60-0.70],1621,0.287185,0.24051,0.22595,0.0,1.0,0.661669
[0.50-0.60],1213,0.226891,0.193016,0.181869,0.0,1.0,0.567514
