range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.301701,0.369904,0.109643,0.0,1.0,0.97863
[0.80-0.90],2273,0.182802,0.303585,0.028091,0.0,1.0,0.862494
[0.70-0.80],1664,0.174699,0.299615,0.020542,0.0,1.0,0.756464
[0.60-0.70],1621,0.155126,0.285249,0.011292,0.0,1.0,0.661669
[0.50-0.60],1213,0.11515,0.256934,0.0,0.0,1.0,0.567514
