range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.478194,0.30813,0.447589,0.0,1.0,0.978847
[0.80-0.90],2820,0.344329,0.267636,0.290595,0.0,1.0,0.863582
[0.70-0.80],1873,0.273634,0.223953,0.230584,0.0,1.0,0.759599
[0.60-0.70],1712,0.229712,0.207883,0.181188,0.0,1.0,0.663683
[0.50-0.60],1262,0.184888,0.186388,0.1399,0.0,1.0,0.564676
