sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,3.53125,-8.75,0.484375
1,3.109375,-8.375,1.2125
2,2.3125,-7.46875,1.45
3,3.421875,-9.1875,1.409375
4,1.054688,-4.125,1.328125
5,3.90625,-9.5625,0.8375
6,2.453125,-7.5,1.35
7,2.109375,-6.53125,1.246875
8,3.546875,-8.5,1.140625
9,3.96875,-8.4375,0.4125
10,1.546875,-5.40625,1.815625
11,2.296875,-7.40625,1.1125
12,1.6875,-6.21875,1.671875
13,2.140625,-7.0,1.4375
14,1.976562,-6.875,1.654688
15,1.179688,-5.40625,1.735937
16,2.09375,-7.75,1.3375
17,2.921875,-8.5625,1.228125
18,1.90625,-6.875,1.50625
19,1.640625,-5.09375,2.1
20,3.03125,-8.75,1.065625
21,1.734375,-5.78125,1.615625
22,2.703125,-7.625,1.1875
23,3.234375,-8.0625,1.371875
24,1.703125,-6.5,0.73125
25,2.578125,-8.0,1.05625
26,3.796875,-8.625,1.084375
27,1.460938,-5.28125,1.607812
28,3.90625,-9.8125,0.775
29,3.546875,-8.75,1.128125
30,2.703125,-8.4375,1.275
31,1.71875,-6.0625,1.590625
32,2.671875,-7.28125,1.159375
33,3.640625,-8.9375,1.096875
34,2.6875,-8.375,1.015625
35,2.46875,-7.25,1.128125
36,2.921875,-8.375,0.821875
37,1.601562,-5.6875,1.235938
38,3.0,-8.6875,1.134375
39,1.601562,-5.8125,1.692188
40,2.453125,-8.0625,1.259375
41,1.8125,-5.59375,1.634375
42,2.109375,-6.0,1.1875
43,3.140625,-8.6875,1.03125
44,2.25,-6.53125,1.1375
45,2.203125,-7.28125,1.565625
46,2.421875,-7.625,1.50625
47,1.6875,-5.8125,1.496875
48,3.515625,-8.75,0.7
49,2.25,-7.125,1.621875
50,2.296875,-7.4375,1.421875
51,3.15625,-8.5,1.203125
52,3.796875,-9.1875,0.859375
53,2.875,-8.5,1.00625
54,3.5,-8.5,1.24375
55,4.125,-10.0,0.74375
56,2.046875,-6.90625,1.440625
57,2.515625,-7.96875,1.390625
58,3.875,-8.75,1.1875
59,3.3125,-9.5625,0.95
60,1.921875,-6.46875,1.740625
61,2.140625,-6.3125,1.203125
62,3.265625,-8.8125,1.296875
63,2.1875,-7.40625,1.409375
64,2.515625,-7.3125,1.71875
65,1.59375,-5.625,1.373437
66,2.234375,-7.90625,0.740625
67,1.90625,-6.46875,1.70625
68,3.5625,-9.375,0.809375
69,4.03125,-10.125,0.9125
70,2.53125,-7.4375,1.503125
71,3.203125,-8.5,1.128125
72,2.484375,-7.6875,1.384375
73,2.828125,-7.8125,1.30625
74,3.578125,-9.0625,0.95
75,2.1875,-6.625,1.4875
76,2.859375,-7.21875,0.965625
77,1.851562,-6.0625,1.476563
78,1.226562,-4.9375,1.748438
79,2.71875,-7.90625,1.109375
80,1.78125,-5.75,1.659375
81,1.671875,-5.9375,1.559375
82,1.726562,-5.5625,1.589063
83,3.8125,-8.9375,0.99375
84,1.015625,-4.15625,1.625
85,1.9375,-6.84375,0.975
86,1.773438,-6.3125,1.710937
87,2.859375,-8.0625,1.428125
88,3.984375,-9.125,0.765625
89,2.546875,-7.75,0.91875
90,1.953125,-6.625,1.890625
91,1.9375,-6.90625,1.46875
92,2.109375,-7.5,1.39375
93,3.0,-8.125,0.909375
94,2.734375,-8.0625,1.35625
95,2.171875,-6.84375,1.534375
96,2.40625,-8.3125,1.203125
97,2.609375,-7.34375,1.759375
98,1.921875,-6.40625,1.628125
99,2.453125,-7.1875,1.53125
100,3.703125,-9.0625,1.184375
101,2.640625,-7.75,0.803125
102,3.484375,-9.1875,0.996875
103,0.988281,-2.828125,0.414844
104,3.921875,-8.9375,1.265625
105,2.5625,-7.65625,1.146875
106,0.902344,-4.40625,0.514843
107,1.789062,-6.125,1.789063
108,3.65625,-9.5,1.15625
109,1.90625,-6.40625,1.175
110,2.046875,-6.78125,2.125
111,1.71875,-6.5,1.1375
112,2.734375,-7.625,1.41875
113,3.109375,-8.5625,1.484375
114,1.867188,-6.15625,1.773437
115,2.140625,-7.0,1.75
116,1.914062,-6.5,1.692188
117,2.671875,-8.25,1.4875
118,3.015625,-7.90625,1.128125
119,3.296875,-9.25,1.278125
120,2.109375,-6.6875,1.40625
121,2.515625,-8.0625,1.496875
122,3.953125,-8.875,1.246875
123,2.1875,-7.25,1.215625
124,2.46875,-8.625,1.478125
125,3.359375,-8.125,0.55
126,1.695312,-6.8125,0.554688
127,1.695312,-5.75,1.195313
128,2.359375,-7.65625,1.53125
129,3.1875,-8.4375,1.2125
130,2.921875,-7.84375,1.1375
131,2.734375,-8.4375,1.190625
132,2.796875,-8.8125,0.83125
133,3.375,-8.8125,1.01875
134,3.15625,-9.3125,1.3875
135,2.09375,-7.125,1.2
136,3.140625,-8.8125,1.134375
137,3.21875,-7.75,1.20625
138,2.921875,-8.0625,1.121875
139,3.53125,-8.8125,1.2875
140,2.578125,-8.125,1.175
141,2.328125,-7.53125,1.390625
142,3.015625,-8.4375,1.03125
143,3.015625,-9.0625,1.025
144,2.5,-7.875,0.95625
145,2.703125,-8.5,1.165625
146,1.6875,-6.34375,1.85625
147,1.625,-5.375,1.8375
148,2.90625,-8.6875,1.5625
149,3.09375,-8.375,0.7375
150,2.96875,-8.625,1.35
151,1.65625,-6.0,1.853125
152,2.171875,-6.59375,1.60625
153,2.703125,-8.125,1.040625
154,2.015625,-6.59375,1.321875
155,3.3125,-9.125,0.73125
156,3.53125,-8.6875,1.2
157,2.546875,-7.03125,1.725
158,3.34375,-9.0,0.89375
159,2.03125,-6.5,1.278125
160,1.554688,-5.15625,1.007812
161,3.203125,-8.4375,1.240625
162,1.804688,-6.59375,1.167187
163,2.609375,-7.84375,1.14375
164,2.609375,-7.65625,1.56875
165,1.046875,-4.4375,1.090625
166,2.1875,-6.53125,0.834375
167,4.4375,-9.75,0.6625
168,1.617188,-6.0,0.765625
169,2.546875,-7.71875,1.184375
170,2.578125,-8.1875,0.9625
171,1.34375,-5.96875,1.034375
172,1.570312,-6.15625,1.548438
173,1.890625,-6.65625,1.465625
174,3.453125,-8.1875,1.384375
175,1.6875,-6.21875,1.315625
176,2.40625,-7.4375,1.184375
177,2.09375,-6.75,1.79375
178,1.695312,-5.15625,1.892188
179,2.203125,-7.09375,1.50625
180,3.1875,-8.625,1.2375
181,2.109375,-6.78125,1.215625
182,2.921875,-8.3125,1.39375
183,1.96875,-6.5,1.14375
184,2.640625,-7.875,1.534375
185,2.34375,-7.125,1.140625
186,2.671875,-8.4375,1.05
187,1.515625,-6.5,1.498437
188,3.21875,-7.90625,1.184375
189,2.359375,-7.875,1.53125
190,3.109375,-8.5625,0.990625
191,2.078125,-6.96875,1.615625
192,3.453125,-8.9375,1.153125
193,2.90625,-8.1875,0.990625
194,3.078125,-9.375,0.26875
195,1.546875,-5.78125,1.625
196,2.984375,-8.75,1.0375
197,1.554688,-5.84375,1.595312
198,2.359375,-7.5625,1.3875
199,1.515625,-5.34375,0.903125
200,3.75,-9.4375,0.69375
201,2.328125,-7.1875,1.309375
202,2.078125,-7.03125,0.415625
203,1.796875,-6.25,1.75625
204,2.109375,-6.78125,1.484375
205,2.75,-8.0,1.096875
206,1.632812,-5.4375,1.710938
207,1.484375,-5.5,1.28125
208,2.21875,-7.1875,1.890625
209,1.460938,-5.78125,1.301562
210,1.4375,-5.375,1.909375
211,2.46875,-7.75,1.0375
212,1.742188,-6.3125,1.420312
213,0.929688,-3.921875,1.507812
214,1.351562,-5.21875,1.639063
215,1.648438,-7.1875,1.104687
216,4.375,-10.4375,0.75625
217,1.734375,-6.0625,1.578125
218,3.953125,-10.1875,0.946875
219,1.492188,-5.625,1.089062
220,2.3125,-7.375,1.121875
221,1.390625,-5.5,1.796875
222,3.53125,-9.375,1.2625
223,1.304688,-4.75,1.848437
224,3.171875,-8.5625,1.040625
225,1.703125,-5.65625,1.328125
226,1.664062,-5.96875,1.089063
227,2.140625,-7.15625,1.321875
228,2.21875,-6.9375,1.95625
229,1.890625,-6.25,1.353125
230,1.835938,-6.59375,1.585937
231,2.3125,-7.90625,1.55
232,2.609375,-8.8125,0.7125
233,2.3125,-7.15625,1.615625
