range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.558548,0.334618,0.578358,0.0,1.0,0.978847
[0.80-0.90],2820,0.385587,0.302929,0.326843,0.0,1.0,0.863582
[0.70-0.80],1873,0.317504,0.2632,0.26418,0.0,1.0,0.759599
[0.60-0.70],1712,0.270975,0.221614,0.229499,0.0,1.0,0.663683
[0.50-0.60],1262,0.204659,0.181656,0.170217,0.0,1.0,0.564676
