range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.537142,0.335366,0.517918,0.0,1.0,0.97863
[0.80-0.90],2273,0.340775,0.293032,0.269318,0.0,1.0,0.862494
[0.70-0.80],1664,0.272294,0.256201,0.196742,0.0,1.0,0.756464
[0.60-0.70],1621,0.220735,0.222026,0.158183,0.0,1.0,0.661669
[0.50-0.60],1213,0.199216,0.22047,0.126844,0.0,1.0,0.567514
