range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.847051,0.270277,0.989772,0.0,1.0,0.97863
[0.80-0.90],2273,0.621673,0.327445,0.678494,0.0,1.0,0.862494
[0.70-0.80],1664,0.479215,0.304361,0.444777,0.0,1.0,0.756464
[0.60-0.70],1621,0.373691,0.279819,0.314375,0.0,1.0,0.661669
[0.50-0.60],1213,0.27429,0.226263,0.22107,0.0,1.0,0.567514
