range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.224952,0.345659,0.028976,0.0,1.0,0.978847
[0.80-0.90],2820,0.174451,0.307869,0.015027,0.0,1.0,0.863582
[0.70-0.80],1873,0.155406,0.298247,0.006488,0.0,1.0,0.759599
[0.60-0.70],1712,0.129487,0.270881,0.000379,0.0,1.0,0.663683
[0.50-0.60],1262,0.106342,0.240615,0.0,0.0,1.0,0.564676
