range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.203434,0.33039,0.023035,0.0,1.0,0.978847
[0.80-0.90],2820,0.146203,0.279131,0.005165,0.0,1.0,0.863582
[0.70-0.80],1873,0.120249,0.24618,0.002563,0.0,1.0,0.759599
[0.60-0.70],1712,0.107191,0.232996,0.000672,0.0,1.0,0.663683
[0.50-0.60],1262,0.086411,0.201147,0.0,0.0,1.0,0.564676
