range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.305826,0.373176,0.114256,0.0,1.0,0.97863
[0.80-0.90],2273,0.202504,0.325064,0.024687,0.0,1.0,0.862494
[0.70-0.80],1664,0.178662,0.306828,0.012718,0.0,1.0,0.756464
[0.60-0.70],1621,0.151041,0.287452,0.003198,0.0,1.0,0.661669
[0.50-0.60],1213,0.118931,0.260431,0.0,0.0,1.0,0.567514
