sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.59375,-8.4375,1.3
1,1.59375,-5.875,1.14375
2,1.65625,-6.46875,1.696875
3,1.703125,-5.71875,1.7875
4,1.882812,-6.125,1.467188
5,1.398438,-4.90625,1.873437
6,1.203125,-4.40625,1.88125
7,4.3125,-10.5625,0.75
8,1.328125,-4.8125,2.165625
9,2.328125,-6.9375,1.321875
10,3.015625,-8.75,1.025
11,1.296875,-5.03125,1.8375
12,2.453125,-7.65625,1.428125
13,3.296875,-8.4375,1.409375
14,2.21875,-7.125,1.434375
15,1.070312,-4.15625,1.609376
16,2.640625,-7.96875,1.478125
17,1.171875,-4.9375,1.396875
18,1.953125,-5.8125,1.803125
19,1.21875,-4.625,1.5625
20,4.375,-9.6875,0.85
21,1.523438,-5.96875,1.420312
22,1.296875,-4.875,2.028125
23,1.898438,-6.6875,1.517187
24,1.257812,-4.1875,2.054688
25,3.046875,-8.9375,1.103125
26,2.296875,-7.0,1.540625
27,2.484375,-6.90625,1.55625
28,3.28125,-8.125,0.76875
29,1.84375,-6.46875,1.484375
30,3.34375,-8.75,1.2375
31,3.0625,-8.0625,1.4125
32,4.09375,-9.9375,0.86875
33,1.289062,-4.28125,2.120313
34,1.429688,-4.71875,2.123437
35,1.78125,-6.25,1.403125
36,2.953125,-8.375,0.825
37,2.203125,-6.78125,1.465625
38,2.203125,-7.4375,1.603125
39,3.65625,-9.75,0.9
40,3.234375,-9.375,1.10625
41,2.875,-8.25,1.34375
42,2.984375,-8.625,0.746875
43,1.882812,-6.96875,1.235938
44,1.179688,-5.125,2.160937
45,1.3125,-4.96875,1.721875
46,2.328125,-7.40625,1.503125
47,1.429688,-5.3125,1.832812
48,2.59375,-7.625,1.25
49,1.757812,-5.78125,1.876563
50,2.3125,-7.03125,1.165625
51,1.765625,-6.40625,1.80625
52,1.03125,-4.0625,1.629687
53,2.21875,-7.125,1.515625
54,2.046875,-6.78125,1.434375
55,3.671875,-10.5625,0.709375
56,3.125,-9.125,1.08125
57,1.132812,-4.53125,1.929688
58,2.1875,-7.75,1.121875
59,3.46875,-9.9375,0.975
60,1.539062,-5.65625,2.148438
61,2.140625,-7.59375,1.653125
62,1.398438,-5.875,1.320312
63,0.738281,-3.078125,2.267969
64,1.53125,-5.59375,2.071875
65,2.53125,-8.375,1.11875
66,3.828125,-10.0,0.928125
67,1.953125,-7.375,1.11875
68,1.625,-5.9375,1.571875
