sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,3.875,-9.75,0.58125
1,3.46875,-10.0,1.38125
2,2.3125,-8.3125,1.584375
3,4.09375,-11.375,1.375
4,1.234375,-5.25,1.357813
5,4.59375,-11.3125,0.85
6,2.640625,-8.5,1.45
7,2.1875,-7.15625,1.4375
8,3.9375,-9.8125,1.28125
9,4.4375,-10.0625,0.50625
10,1.414062,-6.125,1.845313
11,2.546875,-8.8125,1.259375
12,1.609375,-6.5,1.784375
13,1.953125,-6.9375,1.596875
14,1.851562,-7.46875,1.729688
15,1.25,-5.875,1.90625
16,2.359375,-9.125,1.4875
17,3.25,-9.6875,1.2375
18,1.96875,-7.46875,1.65
19,1.28125,-5.03125,2.3625
20,3.40625,-10.125,1.0
21,1.71875,-6.34375,1.703125
22,2.9375,-8.6875,1.3125
23,3.5,-9.25,1.45625
24,1.820312,-7.4375,0.876563
25,3.03125,-9.9375,1.046875
26,4.0625,-10.125,1.1875
27,1.3125,-5.75,1.73125
28,4.15625,-10.4375,0.86875
29,3.84375,-10.125,1.2
30,2.890625,-9.75,1.365625
31,1.96875,-7.21875,1.575
32,2.8125,-8.5,1.33125
33,4.25,-10.75,1.11875
34,2.890625,-9.4375,1.096875
35,2.703125,-7.96875,1.16875
36,3.234375,-9.3125,0.88125
37,1.789062,-6.875,1.317188
38,3.421875,-10.1875,1.259375
39,1.460938,-5.75,1.754687
40,2.578125,-9.0625,1.378125
41,1.710938,-6.46875,1.779687
42,2.234375,-6.875,1.234375
43,3.34375,-10.1875,1.19375
44,2.203125,-7.40625,1.265625
45,2.234375,-8.0625,1.56875
46,2.453125,-8.5625,1.575
47,1.484375,-5.84375,1.634375
48,3.96875,-9.9375,0.775
49,2.15625,-7.4375,1.78125
50,2.265625,-8.0625,1.471875
51,3.53125,-10.3125,1.31875
52,4.09375,-11.0,0.9125
53,3.03125,-9.375,1.115625
54,3.921875,-10.125,1.278125
55,4.4375,-10.9375,0.85625
56,1.734375,-7.0625,1.5625
57,2.8125,-9.125,1.44375
58,4.09375,-10.3125,1.26875
59,3.765625,-11.3125,1.053125
60,1.453125,-5.96875,1.94375
61,2.546875,-7.875,1.278125
62,3.515625,-9.5,1.440625
63,2.3125,-8.1875,1.51875
64,2.328125,-7.875,1.978125
65,1.382812,-5.5625,1.451563
66,2.625,-9.625,0.784375
67,1.734375,-6.46875,1.825
68,3.765625,-10.875,0.865625
69,4.5625,-11.625,0.9625
70,3.015625,-8.6875,1.503125
71,3.546875,-9.8125,1.071875
72,2.5,-8.5,1.41875
73,3.09375,-8.9375,1.4
74,3.921875,-10.3125,0.959375
75,2.359375,-7.625,1.45625
76,3.15625,-8.375,0.996875
77,1.828125,-7.03125,1.521875
78,1.21875,-5.15625,1.91875
79,3.171875,-9.875,1.234375
80,1.734375,-6.125,1.671875
81,1.59375,-6.25,1.721875
82,1.59375,-6.09375,1.771875
83,4.28125,-10.4375,1.09375
84,1.085938,-4.90625,1.832812
