range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],3000,0.47831,0.27977,0.497449,0.0,1.0,0.986047
[0.80-0.90],270,0.405839,0.244721,0.396193,0.0,0.878058,0.865448
[0.70-0.80],200,0.359274,0.207206,0.362111,0.0,0.84591,0.76031
[0.60-0.70],188,0.279262,0.209096,0.242933,0.0,1.0,0.667284
[0.50-0.60],138,0.23817,0.185795,0.219448,0.0,0.976534,0.571638
