range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.61913,0.349892,0.685959,0.0,1.0,0.97863
[0.80-0.90],2273,0.407924,0.318284,0.35119,0.0,1.0,0.862494
[0.70-0.80],1664,0.330563,0.273716,0.279011,0.0,1.0,0.756464
[0.60-0.70],1621,0.277975,0.240808,0.228392,0.0,1.0,0.661669
[0.50-0.60],1213,0.220253,0.205021,0.16679,0.0,1.0,0.567514
