range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.764213,0.257686,0.855499,0.027324,1.0,0.97751
[0.80-0.90],241,0.561103,0.28605,0.602191,0.009522,1.0,0.862003
[0.70-0.80],174,0.41186,0.225944,0.379878,0.037539,0.985775,0.753751
[0.60-0.70],156,0.31524,0.185265,0.281477,0.00406,0.838532,0.663807
[0.50-0.60],112,0.281981,0.163382,0.262143,0.015448,0.839438,0.565327
