sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,3.8125,-10.75,0.58125
1,3.09375,-9.625,1.425
2,1.78125,-7.53125,1.5875
3,3.8125,-11.375,1.23125
4,1.09375,-5.125,1.229687
5,4.78125,-12.25,0.88125
6,2.3125,-8.75,1.459375
7,1.945312,-7.5625,1.504688
8,3.90625,-10.6875,1.1625
9,5.0,-11.5,0.6
10,1.21875,-5.90625,1.725
11,2.65625,-9.9375,1.40625
12,1.09375,-5.0625,1.753125
13,1.210938,-5.34375,1.704687
14,1.507812,-6.875,1.704688
15,1.25,-6.03125,1.58125
16,2.359375,-9.375,1.33125
17,2.796875,-9.25,1.46875
18,1.734375,-7.46875,1.396875
19,0.507812,-2.53125,2.432813
20,3.453125,-10.9375,0.996875
21,1.195312,-5.5625,1.829688
22,2.828125,-9.3125,1.171875
23,3.75,-10.8125,1.21875
24,1.664062,-6.96875,0.926563
25,2.96875,-10.1875,0.95625
26,4.25,-10.1875,0.975
27,1.070312,-5.28125,1.598438
28,4.03125,-11.5,0.93125
29,4.15625,-11.1875,1.09375
30,2.953125,-10.375,1.29375
31,2.15625,-7.65625,1.478125
32,3.015625,-9.3125,1.0625
33,3.90625,-10.8125,1.09375
34,3.0,-10.75,1.009375
35,2.765625,-8.75,1.09375
36,2.71875,-8.8125,1.0125
37,1.757812,-7.46875,1.220313
38,3.40625,-10.1875,1.08125
39,1.117188,-5.375,1.679687
40,2.3125,-8.75,1.315625
41,1.523438,-6.78125,1.664062
42,2.171875,-7.4375,1.19375
43,3.03125,-9.75,0.946875
44,1.585938,-6.34375,1.404687
45,1.835938,-7.90625,1.620312
46,1.890625,-7.96875,1.65
47,1.140625,-5.5,1.6
48,3.78125,-10.1875,0.86875
49,1.546875,-6.46875,1.8625
50,1.84375,-7.9375,1.53125
51,3.46875,-10.4375,1.23125
52,3.484375,-10.5,1.034375
53,3.0,-9.5,1.046875
54,3.84375,-10.5625,1.13125
55,4.15625,-11.0625,0.84375
56,1.53125,-7.1875,1.559375
57,2.71875,-9.5625,1.3125
58,4.21875,-11.125,1.29375
59,3.5,-11.25,0.903125
60,1.070312,-4.8125,1.882813
61,2.703125,-9.0625,1.21875
62,3.34375,-9.5625,1.4
63,2.21875,-8.4375,1.45625
64,1.585938,-7.03125,1.951562
65,0.878906,-4.34375,1.386719
66,2.578125,-9.875,0.740625
67,1.289062,-6.09375,1.782813
68,3.359375,-11.0625,0.975
69,4.375,-11.875,0.9125
70,2.484375,-8.3125,1.69375
71,3.453125,-10.125,1.115625
72,2.1875,-8.8125,1.6
73,3.09375,-9.4375,1.2
74,3.859375,-10.3125,0.796875
75,1.851562,-7.375,1.560938
76,3.140625,-9.0,0.93125
77,1.523438,-6.71875,1.504687
78,0.996094,-4.625,1.722656
79,3.046875,-10.0,1.078125
80,1.585938,-6.9375,1.654687
81,1.148438,-5.4375,1.598437
82,0.988281,-4.71875,1.761719
83,4.1875,-10.625,0.95625
84,0.964844,-4.40625,1.622656
85,1.765625,-6.84375,1.134375
86,1.601562,-6.96875,1.654688
87,3.078125,-9.625,1.334375
88,3.875,-10.25,0.925
89,2.546875,-8.8125,0.94375
90,1.398438,-6.375,2.039062
91,1.492188,-6.75,1.454687
92,2.03125,-8.0625,1.340625
93,3.1875,-10.0625,0.878125
94,3.140625,-10.1875,1.184375
95,1.984375,-7.5,1.509375
96,2.5,-9.3125,1.228125
97,1.710938,-7.15625,1.992187
98,1.5625,-7.15625,1.653125
99,2.4375,-8.625,1.56875
