range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.511004,0.246977,0.495617,0.010632,1.0,0.978268
[0.80-0.90],265,0.38701,0.207664,0.363693,0.0,0.953606,0.865827
[0.70-0.80],200,0.327728,0.166088,0.298664,0.032424,0.819467,0.76031
[0.60-0.70],188,0.292318,0.152015,0.263017,0.019954,0.697245,0.667785
[0.50-0.60],137,0.226486,0.119722,0.212422,0.0,0.732891,0.572589
