range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.509034,0.305519,0.47707,0.0,1.0,0.97863
[0.80-0.90],2273,0.339481,0.26277,0.283795,0.0,1.0,0.862494
[0.70-0.80],1664,0.286318,0.232029,0.232774,0.0,1.0,0.756464
[0.60-0.70],1621,0.255551,0.2171,0.202255,0.0,1.0,0.661669
[0.50-0.60],1213,0.210856,0.188489,0.16197,0.0,0.998877,0.567514
