range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.501499,0.336245,0.472128,0.0,1.0,0.978847
[0.80-0.90],2820,0.342946,0.294961,0.269219,0.0,1.0,0.863582
[0.70-0.80],1873,0.296891,0.275961,0.22129,0.0,1.0,0.759599
[0.60-0.70],1712,0.245542,0.24306,0.175519,0.0,1.0,0.663683
[0.50-0.60],1262,0.18152,0.200677,0.12103,0.0,1.0,0.564676
