range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.442292,0.298622,0.396935,0.0,1.0,0.978847
[0.80-0.90],2820,0.316853,0.247554,0.264625,0.0,1.0,0.863582
[0.70-0.80],1873,0.257292,0.208718,0.216586,0.0,1.0,0.759599
[0.60-0.70],1712,0.215448,0.18732,0.176248,0.0,1.0,0.663683
[0.50-0.60],1262,0.173624,0.170527,0.130871,0.0,1.0,0.564676
