range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.223516,0.338572,0.030662,0.0,1.0,0.978847
[0.80-0.90],2820,0.172792,0.308294,0.013438,0.0,1.0,0.863582
[0.70-0.80],1873,0.148972,0.284043,0.008723,0.0,1.0,0.759599
[0.60-0.70],1712,0.11335,0.248944,0.000772,0.0,1.0,0.663683
[0.50-0.60],1262,0.101271,0.240184,0.0,0.0,1.0,0.564676
