range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.629646,0.293541,0.661179,0.000772,1.0,0.97751
[0.80-0.90],241,0.441193,0.259877,0.399899,0.007607,1.0,0.862003
[0.70-0.80],174,0.352017,0.255745,0.287783,0.002417,0.995952,0.753751
[0.60-0.70],156,0.275382,0.217129,0.234447,0.0,0.963921,0.663458
[0.50-0.60],112,0.270435,0.197922,0.232997,0.017871,0.955656,0.566456
