range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.765236,0.26675,0.868992,0.02069,1.0,0.97751
[0.80-0.90],241,0.563381,0.294233,0.615733,0.0,1.0,0.862003
[0.70-0.80],174,0.386778,0.240567,0.339477,0.021702,0.979044,0.753751
[0.60-0.70],156,0.304598,0.178734,0.302578,0.0,0.844852,0.66391
[0.50-0.60],112,0.254939,0.167109,0.245856,0.00989,0.864834,0.565533
