range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.706013,0.271314,0.786798,0.015645,1.0,0.97751
[0.80-0.90],241,0.524935,0.264527,0.545253,0.0371,1.0,0.862003
[0.70-0.80],174,0.36054,0.223503,0.313027,0.014968,0.876418,0.753751
[0.60-0.70],156,0.285627,0.192086,0.252548,0.004502,0.889555,0.66317
[0.50-0.60],112,0.239571,0.177127,0.207724,0.020065,0.928833,0.566198
