sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.71875,-8.625,1.328125
1,1.664062,-6.125,1.154688
2,1.796875,-6.6875,1.7375
3,1.75,-6.0625,1.84375
4,1.765625,-6.03125,1.628125
5,1.601562,-5.75,1.920313
6,1.273438,-4.875,1.998437
7,4.4375,-11.0625,0.78125
8,1.398438,-5.09375,2.217187
9,2.390625,-6.90625,1.31875
10,3.046875,-8.9375,1.084375
11,1.390625,-5.5,1.817187
12,2.40625,-7.625,1.521875
13,3.328125,-8.625,1.453125
14,2.265625,-7.40625,1.490625
15,1.101562,-4.5,1.642188
16,2.96875,-8.875,1.46875
17,1.117188,-4.6875,1.514062
18,2.078125,-6.09375,1.796875
19,1.226562,-4.84375,1.620313
20,4.53125,-10.0625,0.8125
21,1.585938,-6.09375,1.423437
22,1.28125,-4.90625,2.14375
23,2.046875,-7.25,1.525
24,1.453125,-4.84375,2.11875
25,3.078125,-9.125,1.1625
26,2.453125,-7.3125,1.521875
27,2.578125,-7.25,1.615625
28,3.21875,-8.4375,0.859375
29,1.953125,-6.53125,1.503125
30,3.375,-9.0,1.3125
31,3.25,-8.375,1.40625
32,4.09375,-10.0625,1.0125
33,1.351562,-4.5,2.195313
34,1.625,-5.40625,2.18125
35,1.929688,-6.59375,1.495312
36,2.921875,-8.4375,0.896875
37,2.265625,-6.90625,1.5875
38,2.203125,-7.6875,1.690625
39,3.828125,-10.3125,0.971875
40,3.359375,-9.5,1.146875
41,2.96875,-8.75,1.415625
42,3.015625,-8.8125,0.75625
43,2.0,-7.03125,1.259375
44,1.171875,-5.09375,2.28125
45,1.28125,-4.71875,1.8
46,2.28125,-7.375,1.6125
47,1.570312,-5.84375,1.904688
48,2.65625,-7.875,1.3
49,1.859375,-6.21875,1.921875
50,2.390625,-7.34375,1.234375
51,1.882812,-6.78125,1.910938
52,1.023438,-4.09375,1.717187
53,2.1875,-7.1875,1.60625
54,2.109375,-7.09375,1.55
55,3.796875,-10.625,0.671875
56,3.234375,-9.5625,1.15625
57,1.15625,-4.625,2.05
58,2.25,-8.125,1.140625
59,3.5625,-10.5,1.05
60,1.648438,-5.625,2.198437
61,2.1875,-7.78125,1.671875
62,1.429688,-6.0625,1.360937
63,0.804688,-3.3125,2.301562
64,1.648438,-5.59375,2.082812
65,2.640625,-8.8125,1.134375
66,3.96875,-10.375,0.96875
67,1.945312,-7.40625,1.170313
68,1.757812,-6.3125,1.632813
69,2.765625,-8.0625,1.434375
70,2.28125,-8.125,1.396875
71,2.796875,-8.625,1.346875
72,1.75,-6.875,1.634375
73,2.109375,-7.84375,1.25625
74,1.398438,-5.375,2.229687
75,2.03125,-6.65625,1.45
76,2.671875,-8.375,0.725
77,2.203125,-7.9375,1.196875
78,4.6875,-11.0625,0.65625
79,1.5,-5.53125,2.08125
80,1.445312,-5.0,1.951563
81,1.46875,-5.5625,1.596875
82,3.46875,-9.875,1.625
83,2.421875,-7.9375,1.659375
84,1.664062,-6.46875,1.920313
85,2.671875,-8.5,1.484375
86,1.507812,-5.96875,1.973438
87,3.0,-8.4375,1.3125
88,2.0,-6.8125,1.55625
89,2.09375,-6.84375,1.475
90,1.625,-6.0,2.0
91,2.203125,-7.5,1.46875
92,1.28125,-5.125,1.515625
93,1.773438,-6.8125,1.260937
94,2.265625,-7.34375,1.646875
95,3.34375,-9.375,0.671875
96,1.601562,-5.96875,2.073438
97,1.53125,-5.53125,2.1
98,2.515625,-8.5625,1.31875
99,2.265625,-7.5625,1.68125
100,1.039062,-4.15625,2.429688
101,2.390625,-7.4375,1.64375
102,1.421875,-5.59375,1.695312
103,1.171875,-4.625,2.290625
104,1.796875,-6.9375,1.215625
105,1.5625,-5.46875,2.03125
106,2.1875,-7.4375,1.55
107,2.6875,-7.875,1.5125
108,2.125,-7.34375,1.56875
109,3.625,-9.0625,1.10625
110,1.789062,-6.875,2.098438
111,1.703125,-6.6875,1.896875
112,1.4375,-5.21875,1.93125
113,2.8125,-8.875,1.596875
114,3.34375,-9.375,1.1625
115,1.648438,-5.90625,1.882812
116,2.609375,-8.4375,1.5375
117,2.40625,-7.0625,1.259375
118,1.429688,-4.90625,2.045312
119,3.5,-9.125,1.2125
120,4.5625,-7.4375,0.375
121,3.03125,-7.875,1.553125
122,2.171875,-7.5625,1.040625
123,1.429688,-5.0,1.279687
124,1.15625,-4.8125,1.795312
125,1.929688,-6.90625,1.473437
126,2.1875,-6.96875,1.73125
127,1.84375,-6.4375,1.203125
128,1.179688,-4.71875,2.007812
129,1.296875,-5.1875,1.7125
130,2.46875,-8.3125,1.009375
131,1.828125,-6.625,1.790625
132,2.171875,-7.34375,1.540625
133,2.046875,-7.25,1.353125
134,4.46875,-10.4375,1.1625
135,1.945312,-7.09375,0.954688
136,0.925781,-4.15625,2.411719
137,3.171875,-8.3125,1.253125
138,2.5,-8.125,1.640625
139,2.734375,-8.625,0.88125
140,2.625,-8.25,1.046875
141,4.65625,-10.3125,0.50625
142,4.0625,-10.3125,1.59375
143,1.625,-6.4375,1.4375
144,1.6875,-5.8125,1.803125
145,3.125,-9.0625,1.134375
146,1.242188,-4.90625,2.173437
147,2.859375,-8.5,1.44375
148,3.703125,-9.25,1.240625
149,3.109375,-9.1875,0.81875
150,3.375,-8.25,0.984375
151,1.539062,-5.375,2.035938
152,3.34375,-10.0,1.0375
153,1.796875,-6.125,1.740625
154,2.390625,-7.71875,1.196875
155,1.554688,-6.0625,1.760937
156,1.34375,-5.4375,1.665625
157,1.671875,-6.625,0.85
158,2.1875,-7.59375,1.540625
159,1.414062,-5.28125,1.960938
160,1.734375,-6.25,0.740625
161,2.296875,-8.9375,0.871875
162,1.734375,-6.71875,1.1125
163,2.890625,-7.8125,1.28125
164,2.578125,-8.5625,1.571875
165,3.09375,-8.8125,1.31875
166,1.945312,-6.59375,1.742188
167,2.1875,-7.4375,1.5125
168,2.53125,-8.5625,1.059375
169,1.664062,-5.65625,2.257813
170,0.945312,-4.09375,2.135938
171,1.710938,-5.75,1.695312
172,1.6875,-6.25,1.553125
173,2.53125,-7.90625,1.340625
174,1.8125,-7.28125,1.6625
175,1.953125,-6.96875,1.24375
176,1.804688,-7.0625,1.848437
177,3.390625,-9.875,0.91875
178,2.28125,-7.75,1.390625
179,2.21875,-7.3125,1.69375
180,3.78125,-10.1875,1.03125
181,3.734375,-10.4375,1.053125
182,2.703125,-8.375,1.346875
183,2.796875,-8.375,1.040625
184,2.90625,-8.875,1.121875
185,1.460938,-6.15625,1.467187
186,1.664062,-6.15625,2.048438
