sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,6.09375,-12.4375,0.2875
1,5.5625,-11.75,1.075
2,3.671875,-10.625,1.971875
3,6.34375,-13.5,1.03125
4,3.21875,-8.6875,1.40625
5,6.6875,-13.5625,0.8875
6,4.75,-10.9375,1.2875
7,5.0,-12.0625,0.69375
8,6.1875,-12.1875,1.2375
9,6.15625,-11.25,0.25625
10,2.5,-8.375,2.5375
11,4.59375,-11.375,0.825
12,3.125,-9.0625,2.21875
13,3.0,-9.25,2.11875
14,3.46875,-10.625,2.00625
15,3.203125,-8.4375,1.790625
16,4.15625,-11.375,1.3375
17,5.15625,-11.125,1.05
18,4.65625,-10.875,1.20625
19,1.835938,-7.125,3.464062
20,5.3125,-11.3125,1.15625
21,2.921875,-8.8125,2.365625
22,5.46875,-11.75,1.1625
23,5.96875,-12.125,1.125
24,3.828125,-10.25,0.703125
25,4.375,-10.75,1.18125
26,6.15625,-11.3125,1.1
27,2.8125,-9.6875,2.20625
28,6.375,-13.125,0.6
29,6.1875,-12.0625,1.09375
30,4.875,-11.25,1.4125
31,4.28125,-10.6875,1.4625
32,5.21875,-10.9375,1.1625
33,6.46875,-12.75,0.95
34,4.9375,-11.0625,0.975
35,4.625,-10.625,1.26875
36,5.09375,-11.4375,0.95625
37,3.828125,-10.3125,1.059375
38,5.1875,-11.375,1.1875
39,2.625,-8.4375,2.1625
40,4.6875,-11.25,1.3875
41,3.234375,-9.1875,2.078125
42,4.5,-9.875,1.2625
43,5.625,-11.875,1.03125
44,4.875,-11.5,0.81875
45,3.5625,-10.375,2.20625
46,3.9375,-11.1875,2.06875
47,2.859375,-8.8125,1.865625
48,5.75,-11.75,0.6875
49,3.625,-10.375,2.1
50,3.6875,-11.1875,1.825
51,5.8125,-11.6875,0.95625
52,7.0,-13.375,0.4
53,4.9375,-11.3125,1.05625
54,5.875,-11.8125,1.3625
55,6.40625,-13.1875,0.48125
56,3.34375,-10.4375,1.93125
57,4.8125,-10.8125,1.5125
58,6.25,-13.5,1.34375
59,5.65625,-12.9375,0.99375
60,3.3125,-9.875,2.21875
61,4.53125,-10.3125,0.94375
62,5.59375,-11.3125,1.425
63,4.65625,-11.3125,1.53125
64,3.640625,-11.4375,2.796875
65,2.453125,-8.25,1.909375
66,4.53125,-10.9375,0.60625
67,3.171875,-10.3125,2.134375
68,5.875,-11.875,0.625
69,6.28125,-12.875,0.85
70,5.3125,-10.875,1.1625
71,5.96875,-12.8125,0.875
72,3.34375,-10.75,2.25625
73,5.3125,-11.0625,1.41875
74,5.65625,-11.0625,1.28125
75,3.59375,-10.0625,2.04375
76,5.65625,-11.25,0.9
77,3.265625,-10.25,1.815625
78,3.375,-9.5,1.6625
79,5.125,-11.0,0.94375
80,3.421875,-10.5625,2.021875
81,2.859375,-8.875,2.140625
82,2.328125,-8.0,2.740625
83,6.0625,-11.5625,1.15625
84,2.765625,-8.0625,1.55
85,4.0,-10.0625,1.13125
86,3.953125,-10.25,1.671875
87,5.28125,-11.375,1.3375
88,6.5625,-12.125,0.73125
89,4.59375,-10.6875,1.325
90,3.15625,-9.4375,2.7875
91,2.953125,-9.25,2.028125
92,4.4375,-11.1875,1.375
93,5.28125,-11.4375,0.825
94,4.90625,-11.5625,1.40625
95,4.90625,-10.9375,1.5625
96,4.28125,-11.4375,1.15625
97,3.109375,-9.875,2.665625
98,2.796875,-9.0,2.384375
99,4.6875,-10.125,1.55625
100,6.46875,-13.1875,0.975
101,4.9375,-11.5625,0.5125
102,6.25,-12.25,0.61875
103,4.65625,-8.8125,-0.35
104,6.3125,-11.9375,1.2625
105,5.25,-11.875,0.96875
106,1.875,-6.84375,0.640625
107,2.921875,-10.25,2.590625
108,5.9375,-12.75,1.30625
109,4.28125,-11.0625,1.05625
110,2.515625,-8.875,3.421875
111,3.765625,-10.4375,1.071875
112,5.28125,-11.875,1.4625
113,5.25,-11.5,1.39375
114,1.890625,-7.25,3.15625
115,2.90625,-9.9375,2.45
116,2.859375,-9.3125,2.640625
117,4.78125,-11.625,1.5
118,5.4375,-11.5625,1.18125
