sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,4.46875,-12.0625,1.3125
1,3.546875,-8.9375,1.290625
2,2.9375,-8.875,2.475
3,4.09375,-9.5,1.68125
4,4.1875,-10.1875,1.45
5,1.875,-7.875,3.053125
6,2.890625,-9.0625,2.753125
7,6.6875,-12.625,0.59375
8,1.59375,-6.46875,3.79375
9,5.0625,-10.8125,1.325
10,5.15625,-11.4375,1.15
11,2.578125,-8.9375,2.64375
12,4.625,-11.375,1.41875
13,5.34375,-11.125,1.5375
14,3.875,-10.4375,1.8625
15,2.671875,-8.3125,2.19375
16,4.78125,-11.3125,1.8125
17,2.234375,-7.625,2.178125
18,1.664062,-6.4375,3.642188
19,2.625,-8.0625,2.290625
20,7.40625,-13.8125,0.3875
21,3.015625,-9.5625,2.059375
22,2.40625,-7.46875,3.2
23,3.34375,-10.8125,2.25625
24,1.875,-6.84375,3.371875
25,5.09375,-11.625,1.225
26,4.40625,-10.375,2.1
27,5.15625,-12.0,1.4
28,4.8125,-11.0625,1.2625
29,4.5,-10.4375,1.425
30,5.8125,-11.5625,1.25625
31,5.6875,-11.1875,1.25
32,6.34375,-11.875,0.8625
33,1.070312,-4.65625,3.876563
34,1.867188,-6.34375,3.707812
35,1.390625,-5.65625,3.115625
36,5.0625,-11.375,0.85
37,3.859375,-10.0,1.715625
38,3.28125,-9.5625,2.525
39,6.34375,-12.3125,0.84375
40,5.4375,-11.25,1.1125
41,4.9375,-10.875,1.675
42,4.9375,-10.5625,0.88125
43,3.125,-9.8125,1.8875
44,2.375,-8.9375,3.0875
45,2.25,-8.125,2.89375
46,4.4375,-11.0,1.71875
47,2.4375,-8.6875,2.81875
48,5.03125,-11.0625,1.0125
49,2.109375,-7.6875,3.471875
50,4.125,-10.0,1.46875
51,3.0625,-9.75,2.4375
52,2.34375,-8.75,2.475
53,4.71875,-10.6875,1.21875
54,2.6875,-9.5,2.65
55,6.15625,-12.9375,0.6
56,5.53125,-12.375,0.9625
57,1.242188,-5.59375,3.857812
58,4.6875,-11.75,0.95
59,5.65625,-11.8125,0.875
60,1.625,-6.96875,3.9625
61,3.40625,-11.0625,2.1375
62,3.03125,-8.8125,1.246875
63,1.617188,-6.03125,3.582812
64,1.5,-6.59375,3.925
65,5.0625,-11.5,0.85625
66,5.96875,-12.5625,0.8625
67,3.59375,-10.875,1.075
68,2.421875,-8.625,2.346875
69,5.03125,-11.875,1.3875
70,4.03125,-10.5,1.55
71,4.71875,-10.9375,1.2375
72,3.328125,-9.6875,1.996875
73,3.34375,-9.625,1.171875
74,2.5625,-7.71875,3.1375
75,4.53125,-11.1875,1.34375
76,4.625,-11.1875,0.71875
77,4.03125,-10.6875,1.1625
78,6.78125,-13.0625,0.7
79,1.8125,-7.09375,3.61875
80,1.734375,-6.40625,3.053125
81,2.734375,-9.0625,2.246875
82,4.65625,-12.6875,2.225
83,3.78125,-10.1875,2.38125
84,3.171875,-10.1875,2.534375
85,5.21875,-11.6875,1.10625
86,2.3125,-7.625,3.175
87,5.1875,-11.625,1.24375
88,1.789062,-7.21875,2.979688
89,3.96875,-10.4375,1.5875
90,2.59375,-8.9375,2.828125
91,3.59375,-10.1875,1.91875
92,3.8125,-9.5,1.34375
93,2.234375,-8.1875,2.271875
94,4.0,-9.6875,1.8
95,5.8125,-11.875,0.45625
96,1.28125,-5.5,3.609375
97,3.46875,-10.875,2.69375
98,4.5,-10.875,1.26875
99,4.6875,-11.0,1.43125
100,2.03125,-6.96875,3.284375
101,4.875,-11.25,1.58125
102,1.515625,-6.46875,2.91875
103,2.171875,-7.53125,3.240625
104,3.15625,-10.125,1.6
105,1.585938,-6.9375,3.432812
106,3.28125,-10.375,2.425
107,3.90625,-10.0625,2.35
108,3.296875,-9.75,1.9625
109,5.53125,-11.0625,1.5
110,1.578125,-6.65625,3.578125
111,3.171875,-10.1875,2.809375
112,2.5,-8.1875,2.559375
113,5.3125,-11.5625,1.25
114,5.21875,-11.375,1.11875
115,2.3125,-8.6875,3.0875
116,3.890625,-11.25,2.209375
117,4.96875,-10.6875,1.09375
118,1.875,-6.65625,3.3875
119,5.75,-11.5625,1.0625
120,5.59375,-10.8125,0.75
121,3.90625,-10.1875,2.3625
122,3.90625,-9.3125,1.05
123,3.375,-9.0625,1.33125
124,2.4375,-8.4375,2.5125
125,2.8125,-9.375,2.26875
126,2.0,-7.4375,3.446875
127,2.0625,-7.6875,2.471875
128,1.179688,-5.1875,3.764062
129,2.703125,-8.5,2.221875
130,4.625,-11.3125,0.8875
131,2.8125,-8.25,2.61875
132,4.25,-11.1875,1.50625
133,3.578125,-10.375,1.759375
134,6.75,-13.0,0.98125
135,4.3125,-10.8125,0.75
136,1.726562,-6.59375,3.567188
137,5.1875,-10.625,1.45625
138,3.484375,-9.3125,2.584375
139,5.03125,-10.75,0.79375
140,4.5,-10.9375,1.23125
141,6.78125,-13.0625,0.23125
142,6.15625,-12.0625,1.63125
143,3.078125,-9.375,1.921875
144,1.226562,-5.375,3.379688
145,5.5,-12.125,1.05
146,3.09375,-10.3125,2.7875
147,5.1875,-11.5625,1.175
148,5.90625,-11.75,1.29375
149,5.59375,-12.1875,0.55
150,5.40625,-10.3125,1.2
151,1.59375,-6.4375,3.346875
152,5.46875,-12.0,1.0
153,2.625,-8.625,2.64375
154,4.0625,-10.9375,1.2625
155,1.648438,-7.0,3.289062
156,2.0,-7.21875,2.428125
157,3.625,-9.6875,0.65625
158,4.125,-11.0,1.63125
159,1.554688,-6.28125,3.239062
160,3.84375,-9.875,0.625
161,4.15625,-11.1875,0.85625
162,4.15625,-10.375,1.06875
163,5.5,-10.75,1.0125
164,5.09375,-10.75,1.24375
165,4.84375,-11.6875,1.38125
166,4.15625,-10.375,1.85625
167,3.375,-10.0625,2.19375
168,5.125,-11.25,0.775
169,1.296875,-5.75,4.278125
170,1.851562,-6.96875,3.398438
171,3.71875,-10.3125,1.8625
172,3.9375,-10.75,1.31875
173,4.0,-10.25,1.80625
174,3.25,-10.5,2.29375
175,3.84375,-9.8125,1.15
176,2.765625,-9.625,2.728125
177,5.25,-12.25,0.925
178,4.5,-11.625,1.4625
179,4.6875,-10.5625,1.50625
180,5.90625,-12.125,1.0375
181,5.8125,-12.625,1.075
182,5.09375,-11.5625,1.20625
183,5.25,-11.5,1.01875
184,5.625,-11.875,0.7625
185,3.46875,-10.0,1.51875
186,2.875,-9.625,2.5625
187,1.953125,-7.1875,2.753125
188,3.375,-9.8125,2.4375
189,3.53125,-10.4375,2.04375
190,3.109375,-10.0,1.9
191,3.921875,-10.1875,1.878125
192,2.78125,-8.375,2.66875
193,2.421875,-8.0,2.415625
194,6.375,-12.5625,0.6
195,2.140625,-7.5625,2.45625
196,3.875,-10.8125,2.2375
197,3.484375,-8.6875,1.328125
198,5.9375,-12.125,1.1375
199,5.03125,-11.1875,1.50625
200,3.75,-9.8125,1.0125
201,2.84375,-9.25,2.48125
202,2.75,-8.5625,2.75625
203,1.539062,-6.375,2.976563
204,3.90625,-9.5625,1.6125
205,0.753906,-3.390625,4.386719
206,4.59375,-10.8125,1.29375
207,2.125,-7.90625,2.99375
208,2.875,-9.25,2.2375
209,1.953125,-7.75,3.290625
210,3.421875,-10.6875,2.640625
211,6.71875,-14.75,0.3375
212,2.53125,-8.375,2.2
213,4.8125,-11.125,1.33125
214,3.078125,-9.125,1.865625
215,2.40625,-8.1875,3.040625
216,5.125,-11.375,1.23125
217,2.90625,-8.625,1.23125
218,4.65625,-11.9375,1.18125
219,4.5625,-11.3125,1.41875
220,5.53125,-11.375,1.28125
221,2.046875,-7.78125,3.184375
222,6.46875,-13.5,0.99375
223,0.875,-4.03125,3.3125
224,2.78125,-8.875,2.078125
225,3.5,-10.0625,1.925
226,3.0,-9.75,2.3875
227,5.21875,-11.5,1.35625
228,5.96875,-12.3125,0.94375
229,2.84375,-9.875,2.75
230,5.90625,-10.9375,1.10625
231,3.984375,-10.8125,1.903125
232,3.375,-9.4375,1.04375
233,5.40625,-11.125,1.05625
234,5.71875,-11.5,0.31875
235,4.46875,-10.6875,1.73125
236,2.015625,-7.6875,3.08125
237,3.9375,-10.3125,1.8
238,5.0,-11.4375,0.9875
239,3.5625,-9.9375,1.66875
240,2.578125,-9.3125,2.625
241,5.21875,-11.6875,1.5375
242,5.09375,-10.625,1.6
243,4.4375,-11.0,0.925
244,2.046875,-7.65625,3.365625
245,5.1875,-11.625,1.0875
246,1.734375,-6.53125,3.415625
247,5.28125,-11.25,0.58125
248,2.25,-8.0625,2.265625
249,4.1875,-10.3125,0.9125
250,5.46875,-11.9375,0.95625
251,2.90625,-10.125,2.96875
252,4.46875,-11.1875,0.875
253,5.0625,-11.125,1.11875
254,3.8125,-10.0625,1.16875
255,4.9375,-11.4375,0.925
256,4.34375,-10.625,0.99375
257,6.09375,-11.5625,0.66875
258,5.84375,-13.25,0.55625
259,5.125,-10.875,0.94375
260,1.875,-6.65625,3.246875
261,3.796875,-9.75,0.903125
262,4.90625,-11.125,1.625
263,1.734375,-6.84375,3.559375
264,1.34375,-5.875,4.096875
265,5.25,-11.3125,1.03125
266,6.40625,-12.75,0.61875
267,4.0,-10.9375,0.675
268,5.59375,-11.5625,1.3625
269,4.0625,-10.3125,1.15
270,5.1875,-11.9375,1.10625
271,1.554688,-5.59375,3.351562
272,2.140625,-9.125,2.471875
273,4.0625,-9.625,1.28125
274,5.90625,-11.9375,1.25
275,1.273438,-5.75,3.185937
276,2.65625,-10.3125,3.015625
277,3.640625,-9.625,1.203125
278,2.640625,-8.4375,2.1625
279,2.40625,-8.0,3.075
280,4.375,-10.3125,1.0
281,2.234375,-7.96875,3.396875
282,3.25,-10.0,2.128125
283,1.96875,-8.3125,2.996875
284,2.8125,-9.0625,2.9125
285,1.9375,-7.4375,3.35625
286,1.375,-6.03125,2.814062
287,4.875,-11.75,1.34375
288,4.5,-11.0625,1.2875
289,3.265625,-10.0,2.453125
290,5.8125,-11.75,0.91875
291,3.96875,-9.9375,1.05
292,5.09375,-11.6875,1.13125
293,2.328125,-9.0625,3.259375
294,4.40625,-11.625,0.99375
295,5.4375,-12.25,0.725
296,4.125,-10.9375,1.0125
297,1.890625,-7.0,2.759375
298,2.359375,-7.75,2.26875
299,5.46875,-11.625,1.325
300,5.0,-10.9375,1.55
301,5.53125,-11.6875,1.1625
302,3.5625,-10.9375,2.6375
303,4.9375,-11.3125,1.2625
304,5.03125,-10.625,1.25
305,4.71875,-10.8125,0.8875
306,5.15625,-11.3125,1.23125
307,1.0625,-4.5,3.75625
308,4.5,-10.875,1.21875
309,1.59375,-6.90625,3.521875
310,4.4375,-13.25,2.2
311,3.625,-10.25,1.21875
312,5.1875,-11.875,1.2375
313,3.4375,-9.375,1.73125
314,2.796875,-9.125,0.778125
315,2.03125,-7.75,2.665625
316,2.1875,-7.96875,3.6625
317,1.179688,-5.28125,4.101562
318,4.46875,-10.625,1.325
319,2.421875,-8.1875,3.315625
320,3.203125,-10.1875,2.765625
321,5.75,-12.25,1.3875
322,1.53125,-5.9375,3.39375
323,2.875,-9.3125,2.08125
324,6.4375,-12.25,1.03125
325,6.15625,-12.125,1.05625
326,4.5625,-10.625,1.025
327,3.53125,-9.1875,1.68125
328,5.28125,-11.75,1.6125
329,3.015625,-9.3125,2.353125
330,1.875,-7.875,4.1625
331,4.84375,-11.125,1.5875
332,2.390625,-7.59375,3.046875
333,2.609375,-9.4375,2.696875
334,1.15625,-4.875,3.6625
335,3.984375,-9.8125,1.609375
336,5.875,-11.9375,1.525
337,2.390625,-9.0,2.840625
338,4.0625,-9.375,1.6125
339,4.875,-11.5,1.9125
340,4.875,-11.5625,2.0375
341,4.5625,-10.6875,1.6625
342,3.484375,-10.5,2.378125
343,4.8125,-11.4375,1.125
344,4.65625,-11.25,1.19375
345,4.65625,-11.25,1.4125
346,1.273438,-5.59375,2.917187
347,3.078125,-9.0,2.134375
348,6.15625,-12.5625,1.24375
349,2.234375,-8.3125,3.146875
350,3.03125,-8.5,2.71875
351,5.40625,-12.6875,1.28125
352,1.804688,-6.8125,3.582812
353,3.3125,-9.8125,2.375
354,2.84375,-9.3125,1.628125
355,5.21875,-11.625,1.0125
356,3.09375,-9.4375,2.41875
357,4.28125,-10.5,1.3875
358,3.4375,-10.875,2.25
359,4.65625,-11.6875,2.05
360,2.828125,-9.875,2.659375
361,5.96875,-13.1875,0.85
362,3.234375,-9.5625,1.003125
363,5.59375,-12.625,0.925
364,2.953125,-9.5625,1.996875
365,3.609375,-9.4375,0.571875
366,2.796875,-10.4375,2.628125
367,3.265625,-10.5,2.453125
368,5.125,-11.75,1.3875
369,2.140625,-7.65625,2.890625
370,7.0,-13.25,0.7625
371,1.742188,-6.5625,3.814062
372,2.578125,-9.0,2.865625
373,5.375,-12.375,0.63125
374,1.304688,-5.34375,4.420312
