range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.494755,0.262938,0.467103,0.014636,1.0,0.978268
[0.80-0.90],265,0.383003,0.213252,0.367327,0.0,0.873299,0.865827
[0.70-0.80],200,0.341898,0.195664,0.320562,0.0,0.959064,0.76031
[0.60-0.70],188,0.275134,0.146134,0.248221,0.0,0.750794,0.667359
[0.50-0.60],138,0.214994,0.119674,0.20214,0.0,0.595628,0.57204
