sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,4.3125,-12.0,0.75625
1,3.359375,-10.3125,1.603125
2,2.046875,-9.0,1.790625
3,4.1875,-12.6875,1.5
4,1.21875,-5.90625,1.407813
5,5.03125,-13.875,1.05
6,2.65625,-9.8125,1.575
7,2.1875,-8.6875,1.675
8,4.3125,-11.75,1.2375
9,5.46875,-12.1875,0.76875
10,1.375,-6.75,1.984375
11,3.171875,-11.6875,1.49375
12,1.210938,-5.6875,1.935937
13,1.359375,-6.21875,1.921875
14,1.609375,-7.625,1.896875
15,1.242188,-6.15625,1.845312
16,2.65625,-10.75,1.496875
17,3.125,-10.5625,1.525
18,1.953125,-8.5625,1.546875
19,0.597656,-3.03125,2.667969
20,3.53125,-11.5,1.1375
21,1.265625,-5.96875,2.09375
22,3.21875,-10.8125,1.28125
23,4.28125,-12.1875,1.35625
24,1.867188,-8.0625,1.007812
25,3.328125,-11.375,1.103125
26,4.71875,-11.9375,1.225
27,1.234375,-6.09375,1.80625
28,4.34375,-12.4375,0.94375
29,4.75,-13.125,1.13125
30,3.375,-11.9375,1.44375
31,2.265625,-8.5625,1.728125
32,3.609375,-11.375,1.153125
33,4.3125,-12.0,1.29375
34,3.4375,-12.5625,1.2
35,3.09375,-9.8125,1.171875
36,2.984375,-10.0625,1.0875
37,1.96875,-8.5625,1.35
38,4.03125,-12.75,1.125
39,1.257812,-6.21875,1.926563
40,2.65625,-9.9375,1.478125
41,1.796875,-7.9375,1.834375
42,2.53125,-8.75,1.353125
43,3.328125,-11.0,1.121875
44,1.757812,-7.3125,1.523438
45,1.984375,-8.875,1.846875
46,1.921875,-8.4375,1.915625
47,1.179688,-5.8125,1.870312
48,4.28125,-11.8125,0.96875
49,1.734375,-7.3125,2.0625
50,1.992188,-8.625,1.692187
51,3.859375,-11.875,1.384375
52,3.84375,-11.4375,1.24375
53,3.359375,-10.6875,1.128125
54,4.375,-12.0,1.21875
55,4.34375,-11.5,0.93125
56,1.710938,-8.0625,1.676562
57,3.203125,-11.0625,1.421875
58,4.75,-12.875,1.4375
59,3.921875,-12.5,1.028125
60,1.21875,-5.6875,2.0625
61,2.8125,-9.6875,1.46875
62,3.6875,-10.875,1.50625
63,2.5625,-10.125,1.64375
64,1.8125,-8.3125,2.1125
65,0.890625,-4.4375,1.6375
66,3.015625,-11.625,0.9125
67,1.453125,-6.78125,2.03125
68,3.65625,-12.1875,1.05625
69,4.96875,-13.5625,1.0375
70,2.640625,-9.125,1.8625
71,3.953125,-11.625,1.146875
72,2.40625,-10.0,1.784375
73,3.546875,-10.875,1.371875
74,4.40625,-11.875,0.89375
75,1.890625,-8.0,1.815625
76,3.515625,-10.3125,0.965625
77,1.6875,-7.625,1.646875
78,1.140625,-5.40625,1.896875
79,3.59375,-11.9375,1.14375
80,1.6875,-7.40625,1.915625
81,1.289062,-6.28125,1.829688
82,1.1875,-5.8125,1.91875
83,4.75,-12.0,1.0875
84,1.117188,-5.3125,1.870312
85,1.9375,-7.6875,1.2875
86,1.859375,-8.125,1.85625
87,3.4375,-10.875,1.55
88,4.1875,-11.1875,0.9875
89,2.90625,-10.0625,1.028125
90,1.632812,-7.53125,2.273438
91,1.65625,-7.71875,1.659375
92,2.453125,-9.5,1.471875
93,3.71875,-11.5,0.925
94,3.609375,-11.6875,1.346875
95,2.34375,-9.0,1.615625
96,2.78125,-10.1875,1.365625
97,1.890625,-7.875,2.296875
98,1.757812,-8.0625,1.876563
99,2.515625,-9.0,1.821875
