range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],3000,0.591849,0.428672,0.788763,0.0,1.0,0.977406
[0.80-0.90],1842,0.239281,0.346545,0.0,0.0,1.0,0.858248
[0.70-0.80],1719,0.118115,0.187151,0.0,0.0,1.0,0.75093
[0.60-0.70],1956,0.103864,0.163167,0.0,0.0,0.901302,0.659367
[0.50-0.60],1685,0.080202,0.137045,0.0,0.0,1.0,0.561237
