range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.741704,0.273256,0.834175,0.01375,1.0,0.97751
[0.80-0.90],241,0.558709,0.281669,0.579118,0.0,1.0,0.862003
[0.70-0.80],174,0.380482,0.230084,0.337279,0.021702,0.990274,0.753751
[0.60-0.70],156,0.288106,0.174026,0.2792,0.0,0.855634,0.663313
[0.50-0.60],112,0.251393,0.169418,0.230423,0.013209,0.853498,0.565996
