range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.474286,0.240532,0.43816,0.007892,1.0,0.978268
[0.80-0.90],265,0.35338,0.196728,0.33304,0.0,1.0,0.865827
[0.70-0.80],200,0.327801,0.161926,0.321663,0.018316,1.0,0.76031
[0.60-0.70],188,0.298977,0.151826,0.276436,0.004659,1.0,0.667587
[0.50-0.60],138,0.234292,0.118944,0.215633,0.001756,0.53678,0.571907
