sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,4.25,-11.75,0.71875
1,3.390625,-10.5625,1.528125
2,2.0,-8.625,1.740625
3,4.15625,-12.375,1.41875
4,1.242188,-6.0,1.335937
5,5.03125,-13.5625,1.025
6,2.59375,-9.5,1.553125
7,2.09375,-8.25,1.628125
8,4.375,-12.0,1.15625
9,5.1875,-11.3125,0.70625
10,1.40625,-6.65625,1.815625
11,3.015625,-11.125,1.45
12,1.21875,-5.71875,1.86875
13,1.390625,-6.25,1.8
14,1.632812,-7.6875,1.770313
15,1.226562,-6.0625,1.773438
16,2.578125,-10.5,1.44375
17,3.015625,-10.0,1.540625
18,1.96875,-8.5625,1.515625
19,0.613281,-3.046875,2.586719
20,3.453125,-11.125,1.121875
21,1.304688,-6.0625,1.976562
22,3.09375,-10.4375,1.24375
23,4.125,-11.8125,1.33125
24,1.804688,-7.78125,0.989062
25,3.265625,-11.0625,1.065625
26,4.59375,-11.4375,1.14375
27,1.320312,-6.46875,1.648438
28,4.3125,-12.3125,0.91875
29,4.65625,-12.6875,1.0875
30,3.375,-11.875,1.36875
31,2.328125,-8.625,1.65
32,3.453125,-10.8125,1.140625
33,4.1875,-11.625,1.21875
34,3.4375,-12.375,1.1125
35,3.0,-9.5,1.175
36,2.953125,-9.9375,1.0625
37,1.914062,-8.25,1.304688
38,3.90625,-12.25,1.1
39,1.265625,-6.15625,1.81875
40,2.640625,-9.75,1.396875
41,1.765625,-7.6875,1.76875
42,2.46875,-8.5,1.25625
43,3.328125,-10.875,1.084375
44,1.742188,-7.125,1.442187
45,1.984375,-8.625,1.75625
46,1.9375,-8.5,1.840625
47,1.179688,-5.75,1.795312
48,4.15625,-11.5625,0.98125
49,1.71875,-7.1875,2.009375
50,2.0,-8.5625,1.65
51,3.734375,-11.5625,1.365625
52,3.8125,-11.25,1.175
53,3.234375,-10.125,1.109375
54,4.21875,-11.5625,1.1875
55,4.34375,-11.5,0.8875
56,1.664062,-7.75,1.601563
57,3.078125,-10.75,1.353125
58,4.71875,-12.5,1.375
59,3.875,-12.375,0.98125
60,1.210938,-5.6875,1.976562
61,2.78125,-9.5,1.421875
62,3.640625,-10.375,1.459375
63,2.4375,-9.625,1.5625
64,1.695312,-7.78125,2.045313
65,0.933594,-4.5625,1.578906
66,2.953125,-11.1875,0.878125
67,1.46875,-6.75,1.921875
68,3.578125,-11.9375,1.015625
69,4.875,-13.3125,0.9875
70,2.609375,-8.9375,1.8125
71,3.84375,-11.4375,1.125
72,2.421875,-9.8125,1.690625
73,3.40625,-10.3125,1.2875
74,4.375,-11.5,0.83125
75,1.929688,-7.875,1.704687
76,3.375,-9.75,1.0
77,1.75,-7.8125,1.534375
78,1.109375,-5.1875,1.828125
79,3.375,-11.25,1.15
80,1.710938,-7.375,1.801562
81,1.273438,-6.125,1.757812
82,1.140625,-5.5,1.84375
83,4.65625,-11.75,1.0375
84,1.09375,-5.1875,1.828125
85,1.96875,-7.75,1.240625
86,1.804688,-8.0,1.751562
87,3.375,-10.5625,1.48125
88,4.15625,-11.125,0.96875
89,2.875,-9.9375,0.978125
90,1.695312,-7.71875,2.092188
91,1.640625,-7.4375,1.575
92,2.390625,-9.25,1.409375
93,3.609375,-11.3125,0.940625
94,3.453125,-11.1875,1.265625
95,2.25,-8.5625,1.571875
96,2.71875,-10.0625,1.328125
97,1.929688,-7.90625,2.173437
98,1.765625,-7.90625,1.746875
99,2.5,-8.875,1.74375
