range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.587125,0.311059,0.606031,0.0,1.0,0.978847
[0.80-0.90],2820,0.416055,0.273221,0.38809,0.0,1.0,0.863582
[0.70-0.80],1873,0.339966,0.233393,0.315833,0.0,1.0,0.759599
[0.60-0.70],1712,0.277327,0.204575,0.24842,0.0,1.0,0.663683
[0.50-0.60],1262,0.230498,0.182282,0.206778,0.0,1.0,0.564676
