range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.584708,0.333335,0.610266,0.0,1.0,0.978847
[0.80-0.90],2820,0.406777,0.310049,0.348169,0.0,1.0,0.863582
[0.70-0.80],1873,0.324954,0.274152,0.264822,0.0,1.0,0.759599
[0.60-0.70],1712,0.271189,0.245142,0.205485,0.0,1.0,0.663683
[0.50-0.60],1262,0.201813,0.201254,0.144483,0.0,1.0,0.564676
