range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],500,0.739477,0.255393,0.820151,0.019297,1.0,0.97751
[0.80-0.90],241,0.534501,0.283444,0.572972,0.0,1.0,0.862003
[0.70-0.80],174,0.413303,0.233708,0.404994,0.0,0.996418,0.753751
[0.60-0.70],156,0.358254,0.215892,0.336458,0.0,0.973221,0.663521
[0.50-0.60],113,0.251096,0.139674,0.239432,0.0,0.65802,0.565611
