sample_idx,mia_loss,mia_min_k,mia_neighborhood
0,2.375,-9.4375,1.475
1,1.6875,-7.0,1.453125
2,1.40625,-6.46875,1.9375
3,1.398438,-6.0,2.129687
4,1.617188,-6.625,1.604687
5,0.742188,-3.515625,2.089062
6,0.6875,-3.3125,1.945312
7,4.625,-12.375,0.9375
8,0.582031,-2.765625,2.486719
9,2.046875,-7.34375,1.81875
10,3.140625,-10.125,1.153125
11,0.671875,-3.3125,2.053125
12,2.40625,-8.6875,1.471875
13,3.90625,-11.3125,1.40625
14,1.71875,-7.40625,1.628125
15,0.734375,-3.609375,1.782812
16,2.734375,-9.25,1.56875
17,1.046875,-5.0,1.475
18,1.1875,-4.6875,1.90625
19,1.007812,-4.8125,1.592188
20,4.3125,-11.5,1.1125
21,1.179688,-5.4375,1.501562
22,0.996094,-4.5625,2.050781
23,1.789062,-7.53125,1.614063
24,0.710938,-3.125,2.20625
25,3.234375,-10.875,1.165625
26,2.25,-7.03125,1.590625
27,2.296875,-8.25,1.85
28,3.28125,-9.4375,1.040625
29,1.632812,-6.75,1.648438
30,3.15625,-10.125,1.625
31,3.28125,-9.875,1.34375
32,4.3125,-12.375,1.25625
33,0.5625,-2.609375,2.173437
34,0.5,-2.3125,2.503125
35,1.132812,-5.0,1.620313
36,2.671875,-9.375,1.078125
37,1.726562,-6.65625,1.704688
38,1.539062,-6.5625,2.160938
39,4.3125,-12.5,0.875
40,3.890625,-11.75,1.171875
41,3.203125,-10.125,1.340625
42,3.390625,-11.125,0.8375
43,1.859375,-8.0,1.321875
44,0.878906,-4.1875,2.174219
45,1.078125,-5.15625,1.701562
46,2.1875,-8.3125,1.74375
47,0.914062,-4.3125,2.048438
48,2.671875,-9.375,1.403125
49,1.0625,-5.0,2.01875
50,2.5,-9.0625,1.25625
51,1.640625,-7.21875,1.88125
52,0.667969,-3.3125,1.646094
53,2.21875,-8.125,1.640625
54,1.46875,-6.15625,1.803125
55,4.09375,-11.8125,0.76875
56,2.734375,-9.125,1.35625
57,0.546875,-2.65625,2.075
58,2.015625,-8.125,1.1
59,4.15625,-12.3125,0.95
60,0.753906,-3.53125,2.496094
61,1.773438,-7.84375,1.889062
62,0.972656,-4.75,1.505469
63,0.449219,-2.125,2.222656
64,0.773438,-3.671875,2.460937
65,2.84375,-9.75,1.28125
66,4.375,-12.1875,0.98125
67,1.671875,-7.3125,1.309375
68,0.898438,-4.1875,1.751562
69,1.757812,-7.03125,1.801563
70,2.265625,-8.8125,1.375
71,2.984375,-9.8125,1.25
72,1.65625,-7.46875,1.5375
73,1.734375,-7.1875,1.378125
74,0.835938,-3.828125,2.260937
75,1.75,-7.1875,1.725
76,2.65625,-9.5,0.740625
77,2.125,-8.5,1.2625
78,5.28125,-12.75,0.725
79,0.691406,-3.28125,2.227344
80,0.921875,-4.375,1.925
81,1.367188,-6.3125,1.607812
82,2.71875,-9.6875,1.8875
83,1.96875,-7.125,1.9125
84,1.34375,-5.78125,1.915625
85,2.359375,-8.25,1.784375
86,1.007812,-4.90625,2.120313
87,3.09375,-10.3125,1.4125
88,0.632812,-3.0,1.885938
89,2.125,-7.75,1.48125
90,1.125,-5.28125,1.88125
91,1.804688,-7.625,1.535937
92,1.195312,-5.625,1.710938
93,1.15625,-5.3125,1.434375
94,2.0,-7.8125,1.675
95,3.640625,-10.9375,0.775
96,0.660156,-3.09375,2.267969
97,0.929688,-4.34375,2.279687
98,2.65625,-9.75,1.271875
99,2.1875,-8.3125,1.79375
