range,n,mean_output_sim,std_output_sim,median_output_sim,min_output_sim,max_output_sim,mean_input_sim
[0.90-1.00],5000,0.538935,0.317704,0.528069,0.0,1.0,0.97863
[0.80-0.90],2273,0.353357,0.266219,0.30376,0.0,1.0,0.862494
[0.70-0.80],1664,0.277112,0.223755,0.234235,0.0,1.0,0.756464
[0.60-0.70],1621,0.24262,0.205202,0.199847,0.0,1.0,0.661669
[0.50-0.60],1213,0.197927,0.189543,0.143219,0.0,1.0,0.567514
